sample,phase,active_joint,read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
20,baseline,,0.400094240000044,0.402161648999936,0.4041501159999825,0.4041635779999524,0.40437332999999853,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.015510250188621635,-0.12847941310091077,-0.05696181992348685,0.0,-0.07671776931843206,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
21,baseline,,0.4200919059999251,0.4221419999998943,0.4241538000001128,0.4241663549998975,0.4243732550000914,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.015510250188621635,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
22,baseline,,0.4400905170000442,0.4421498149999934,0.44415729999991527,0.44417009600010715,0.44437531099993066,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.015510250188621635,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
23,baseline,,0.46009062899997843,0.46213483499991526,0.4641214509999827,0.4641333580000264,0.46433894300002976,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,0.0,0.0
24,baseline,,0.48009088999992855,0.48213002200009214,0.4841105640000478,0.48412287800010745,0.48432825999998386,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
25,baseline,,0.5000903360000848,0.5021341900001062,0.5041563780000615,0.5041686560000471,0.5043802039999719,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,0.0,0.0
26,baseline,,0.520084708000013,0.5221900040000946,0.5241739900000084,0.5241857299999992,0.5243958339999608,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
27,baseline,,0.5400862649998999,0.5421306559999266,0.5441204930000367,0.544132123000054,0.5443346520000887,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
28,baseline,,0.5600860249999187,0.5621398050000153,0.5641249949999292,0.5641378830000576,0.5643470420000085,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
29,baseline,,0.5800898780000807,0.5821221220001007,0.5841079970000465,0.5841181999999208,0.5843151560000024,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
